"Statistic Label","Age Group","Sex","Regional Authority Area","Year","UNIT","VALUE"
"Estimated Population (Persons in April)","5 - 9 years","Male","Mid-East","2005","Thousand","17.7"
"Estimated Population (Persons in April)","5 - 9 years","Male","Mid-East","2006","Thousand","18.8"
"Estimated Population (Persons in April)","5 - 9 years","Male","Mid-East","2007","Thousand","19.8"
"Estimated Population (Persons in April)","5 - 9 years","Male","Mid-East","2008","Thousand","20.7"
"Estimated Population (Persons in April)","5 - 9 years","Male","Mid-East","2009","Thousand","21.5"
"Estimated Population (Persons in April)","5 - 9 years","Male","Mid-East","2010","Thousand","22"
"Estimated Population (Persons in April)","5 - 9 years","Male","Mid-East","2011","Thousand","22.2"
"Estimated Population (Persons in April)","5 - 9 years","Male","Mid-East","2012","Thousand","22.5"
"Estimated Population (Persons in April)","5 - 9 years","Male","Mid-East","2013","Thousand","23.3"
"Estimated Population (Persons in April)","5 - 9 years","Male","Mid-East","2014","Thousand","23.9"
"Estimated Population (Persons in April)","5 - 9 years","Male","Mid-East","2015","Thousand","24.2"
"Estimated Population (Persons in April)","5 - 9 years","Male","Mid-East","2016","Thousand","24.7"
"Estimated Population (Persons in April)","5 - 9 years","Male","Mid-East","2017","Thousand","24.9"
"Estimated Population (Persons in April)","5 - 9 years","Male","Mid-West","1996","Thousand","8.7"
"Estimated Population (Persons in April)","5 - 9 years","Male","Mid-West","1997","Thousand","12.2"
"Estimated Population (Persons in April)","5 - 9 years","Male","Mid-West","1998","Thousand","11.8"
"Estimated Population (Persons in April)","5 - 9 years","Male","Mid-West","1999","Thousand","11.6"
"Estimated Population (Persons in April)","5 - 9 years","Male","Mid-West","2000","Thousand","11.3"
"Estimated Population (Persons in April)","5 - 9 years","Male","Mid-West","2001","Thousand","11.1"
"Estimated Population (Persons in April)","5 - 9 years","Male","Mid-West","2002","Thousand","12"
"Estimated Population (Persons in April)","5 - 9 years","Male","Mid-West","2003","Thousand","12"
"Estimated Population (Persons in April)","5 - 9 years","Male","Mid-West","2004","Thousand","12.3"
"Estimated Population (Persons in April)","5 - 9 years","Male","Mid-West","2005","Thousand","12.7"
"Estimated Population (Persons in April)","5 - 9 years","Male","Mid-West","2006","Thousand","12.7"
"Estimated Population (Persons in April)","5 - 9 years","Male","Mid-West","2007","Thousand","12.8"
"Estimated Population (Persons in April)","5 - 9 years","Male","Mid-West","2008","Thousand","13.1"
"Estimated Population (Persons in April)","5 - 9 years","Male","Mid-West","2009","Thousand","13.2"
"Estimated Population (Persons in April)","5 - 9 years","Male","Mid-West","2010","Thousand","13"
"Estimated Population (Persons in April)","5 - 9 years","Male","Mid-West","2011","Thousand","13.3"
"Estimated Population (Persons in April)","5 - 9 years","Male","Mid-West","2012","Thousand","13.6"
"Estimated Population (Persons in April)","5 - 9 years","Male","Mid-West","2013","Thousand","14"
"Estimated Population (Persons in April)","5 - 9 years","Male","Mid-West","2014","Thousand","14.5"
"Estimated Population (Persons in April)","5 - 9 years","Male","Mid-West","2015","Thousand","14.7"
"Estimated Population (Persons in April)","5 - 9 years","Male","Mid-West","2016","Thousand","14.6"
"Estimated Population (Persons in April)","5 - 9 years","Male","Mid-West","2017","Thousand","14.7"
"Estimated Population (Persons in April)","5 - 9 years","Male","South-East","1996","Thousand","12.8"
"Estimated Population (Persons in April)","5 - 9 years","Male","South-East","1997","Thousand","15.9"
"Estimated Population (Persons in April)","5 - 9 years","Male","South-East","1998","Thousand","15.9"
"Estimated Population (Persons in April)","5 - 9 years","Male","South-East","1999","Thousand","15.9"
"Estimated Population (Persons in April)","5 - 9 years","Male","South-East","2000","Thousand","15.6"
"Estimated Population (Persons in April)","5 - 9 years","Male","South-East","2001","Thousand","15.4"
"Estimated Population (Persons in April)","5 - 9 years","Male","South-East","2002","Thousand","15.3"
"Estimated Population (Persons in April)","5 - 9 years","Male","South-East","2003","Thousand","15.7"
"Estimated Population (Persons in April)","5 - 9 years","Male","South-East","2004","Thousand","16.1"
"Estimated Population (Persons in April)","5 - 9 years","Male","South-East","2005","Thousand","16.6"
"Estimated Population (Persons in April)","5 - 9 years","Male","South-East","2006","Thousand","16.9"
"Estimated Population (Persons in April)","5 - 9 years","Male","South-East","2007","Thousand","17.1"
"Estimated Population (Persons in April)","5 - 9 years","Male","South-East","2008","Thousand","17.5"
"Estimated Population (Persons in April)","5 - 9 years","Male","South-East","2009","Thousand","17.7"
"Estimated Population (Persons in April)","5 - 9 years","Male","South-East","2010","Thousand","18.3"
"Estimated Population (Persons in April)","5 - 9 years","Male","South-East","2011","Thousand","18.5"
"Estimated Population (Persons in April)","5 - 9 years","Male","South-East","2012","Thousand","18.7"
"Estimated Population (Persons in April)","5 - 9 years","Male","South-East","2013","Thousand","18.9"
"Estimated Population (Persons in April)","5 - 9 years","Male","South-East","2014","Thousand","19.3"
"Estimated Population (Persons in April)","5 - 9 years","Male","South-East","2015","Thousand","19.6"
"Estimated Population (Persons in April)","5 - 9 years","Male","South-East","2016","Thousand","19.9"
"Estimated Population (Persons in April)","5 - 9 years","Male","South-East","2017","Thousand","20.1"
"Estimated Population (Persons in April)","5 - 9 years","Male","South-West","1996","Thousand","16.3"
"Estimated Population (Persons in April)","5 - 9 years","Male","South-West","1997","Thousand","21.1"
"Estimated Population (Persons in April)","5 - 9 years","Male","South-West","1998","Thousand","20.9"
"Estimated Population (Persons in April)","5 - 9 years","Male","South-West","1999","Thousand","20.4"
"Estimated Population (Persons in April)","5 - 9 years","Male","South-West","2000","Thousand","20.1"
"Estimated Population (Persons in April)","5 - 9 years","Male","South-West","2001","Thousand","20"
"Estimated Population (Persons in April)","5 - 9 years","Male","South-West","2002","Thousand","19.9"
"Estimated Population (Persons in April)","5 - 9 years","Male","South-West","2003","Thousand","20.1"
"Estimated Population (Persons in April)","5 - 9 years","Male","South-West","2004","Thousand","20.6"
"Estimated Population (Persons in April)","5 - 9 years","Male","South-West","2005","Thousand","20.9"
"Estimated Population (Persons in April)","5 - 9 years","Male","South-West","2006","Thousand","21.3"
"Estimated Population (Persons in April)","5 - 9 years","Male","South-West","2007","Thousand","21.5"
"Estimated Population (Persons in April)","5 - 9 years","Male","South-West","2008","Thousand","22.3"
"Estimated Population (Persons in April)","5 - 9 years","Male","South-West","2009","Thousand","22.6"
"Estimated Population (Persons in April)","5 - 9 years","Male","South-West","2010","Thousand","22.9"
"Estimated Population (Persons in April)","5 - 9 years","Male","South-West","2011","Thousand","23"
"Estimated Population (Persons in April)","5 - 9 years","Male","South-West","2012","Thousand","23.6"
"Estimated Population (Persons in April)","5 - 9 years","Male","South-West","2013","Thousand","24.1"
"Estimated Population (Persons in April)","5 - 9 years","Male","South-West","2014","Thousand","24.7"
"Estimated Population (Persons in April)","5 - 9 years","Male","South-West","2015","Thousand","25"
"Estimated Population (Persons in April)","5 - 9 years","Male","South-West","2016","Thousand","25.7"
"Estimated Population (Persons in April)","5 - 9 years","Male","South-West","2017","Thousand","25.7"
"Estimated Population (Persons in April)","5 - 9 years","Female","State","1996","Thousand","137.6"
"Estimated Population (Persons in April)","5 - 9 years","Female","State","1997","Thousand","135.7"
"Estimated Population (Persons in April)","5 - 9 years","Female","State","1998","Thousand","133.6"
"Estimated Population (Persons in April)","5 - 9 years","Female","State","1999","Thousand","131.9"
"Estimated Population (Persons in April)","5 - 9 years","Female","State","2000","Thousand","130.1"
"Estimated Population (Persons in April)","5 - 9 years","Female","State","2001","Thousand","128.2"
"Estimated Population (Persons in April)","5 - 9 years","Female","State","2002","Thousand","128.2"
"Estimated Population (Persons in April)","5 - 9 years","Female","State","2003","Thousand","130.9"
"Estimated Population (Persons in April)","5 - 9 years","Female","State","2004","Thousand","133.8"
"Estimated Population (Persons in April)","5 - 9 years","Female","State","2005","Thousand","136.3"
"Estimated Population (Persons in April)","5 - 9 years","Female","State","2006","Thousand","140.4"
"Estimated Population (Persons in April)","5 - 9 years","Female","State","2007","Thousand","145.4"
"Estimated Population (Persons in April)","5 - 9 years","Female","State","2008","Thousand","150"
"Estimated Population (Persons in April)","5 - 9 years","Female","State","2009","Thousand","152.2"
"Estimated Population (Persons in April)","5 - 9 years","Female","State","2010","Thousand","153.8"
"Estimated Population (Persons in April)","5 - 9 years","Female","State","2011","Thousand","156.2"
"Estimated Population (Persons in April)","5 - 9 years","Female","State","2012","Thousand","158.7"
"Estimated Population (Persons in April)","5 - 9 years","Female","State","2013","Thousand","162.3"
"Estimated Population (Persons in April)","5 - 9 years","Female","State","2014","Thousand","167"
"Estimated Population (Persons in April)","5 - 9 years","Female","State","2015","Thousand","170.8"
"Estimated Population (Persons in April)","5 - 9 years","Female","State","2016","Thousand","173.9"
"Estimated Population (Persons in April)","5 - 9 years","Female","State","2017","Thousand","176"
"Estimated Population (Persons in April)","5 - 9 years","Female","Border","1996","Thousand","13.5"
"Estimated Population (Persons in April)","5 - 9 years","Female","Border","1997","Thousand","16.2"
"Estimated Population (Persons in April)","5 - 9 years","Female","Border","1998","Thousand","15.8"
"Estimated Population (Persons in April)","5 - 9 years","Female","Border","1999","Thousand","15.5"
"Estimated Population (Persons in April)","5 - 9 years","Female","Border","2000","Thousand","15.6"
"Estimated Population (Persons in April)","5 - 9 years","Female","Border","2001","Thousand","15.5"
"Estimated Population (Persons in April)","5 - 9 years","Female","Border","2002","Thousand","15.1"
"Estimated Population (Persons in April)","5 - 9 years","Female","Border","2003","Thousand","15.2"
"Estimated Population (Persons in April)","5 - 9 years","Female","Border","2004","Thousand","15.8"
"Estimated Population (Persons in April)","5 - 9 years","Female","Border","2005","Thousand","16.1"
"Estimated Population (Persons in April)","5 - 9 years","Female","Border","2006","Thousand","16.8"
"Estimated Population (Persons in April)","5 - 9 years","Female","Border","2007","Thousand","17.6"
"Estimated Population (Persons in April)","5 - 9 years","Female","Border","2008","Thousand","18.3"
"Estimated Population (Persons in April)","5 - 9 years","Female","Border","2009","Thousand","18.4"
"Estimated Population (Persons in April)","5 - 9 years","Female","Border","2010","Thousand","18.3"
"Estimated Population (Persons in April)","5 - 9 years","Female","Border","2011","Thousand","18.4"
"Estimated Population (Persons in April)","5 - 9 years","Female","Border","2012","Thousand","18.5"
"Estimated Population (Persons in April)","5 - 9 years","Female","Border","2013","Thousand","19"
"Estimated Population (Persons in April)","5 - 9 years","Female","Border","2014","Thousand","19.4"
"Estimated Population (Persons in April)","5 - 9 years","Female","Border","2015","Thousand","19.8"
"Estimated Population (Persons in April)","5 - 9 years","Female","Border","2016","Thousand","20.1"
"Estimated Population (Persons in April)","5 - 9 years","Female","Border","2017","Thousand","20.3"
"Estimated Population (Persons in April)","5 - 9 years","Female","Midland","1996","Thousand","14.5"
"Estimated Population (Persons in April)","5 - 9 years","Female","Midland","1997","Thousand","8.2"
"Estimated Population (Persons in April)","5 - 9 years","Female","Midland","1998","Thousand","8.2"
"Estimated Population (Persons in April)","5 - 9 years","Female","Midland","1999","Thousand","8.1"
"Estimated Population (Persons in April)","5 - 9 years","Female","Midland","2000","Thousand","8"
"Estimated Population (Persons in April)","5 - 9 years","Female","Midland","2001","Thousand","8.1"
"Estimated Population (Persons in April)","5 - 9 years","Female","Midland","2002","Thousand","8.1"
"Estimated Population (Persons in April)","5 - 9 years","Female","Midland","2003","Thousand","8.5"
"Estimated Population (Persons in April)","5 - 9 years","Female","Midland","2004","Thousand","8.8"
"Estimated Population (Persons in April)","5 - 9 years","Female","Midland","2005","Thousand","8.9"
"Estimated Population (Persons in April)","5 - 9 years","Female","Midland","2006","Thousand","9.2"
"Estimated Population (Persons in April)","5 - 9 years","Female","Midland","2007","Thousand","9.8"
"Estimated Population (Persons in April)","5 - 9 years","Female","Midland","2008","Thousand","10.3"
"Estimated Population (Persons in April)","5 - 9 years","Female","Midland","2009","Thousand","10.7"
"Estimated Population (Persons in April)","5 - 9 years","Female","Midland","2010","Thousand","10.8"
"Estimated Population (Persons in April)","5 - 9 years","Female","Midland","2011","Thousand","10.8"
"Estimated Population (Persons in April)","5 - 9 years","Female","Midland","2012","Thousand","11"
"Estimated Population (Persons in April)","5 - 9 years","Female","Midland","2013","Thousand","11.2"
"Estimated Population (Persons in April)","5 - 9 years","Female","Midland","2014","Thousand","11.4"
"Estimated Population (Persons in April)","5 - 9 years","Female","Midland","2015","Thousand","11.6"
"Estimated Population (Persons in April)","5 - 9 years","Female","Midland","2016","Thousand","11.8"
"Estimated Population (Persons in April)","5 - 9 years","Female","Midland","2017","Thousand","12"
"Estimated Population (Persons in April)","5 - 9 years","Female","West","1996","Thousand","20.3"
"Estimated Population (Persons in April)","5 - 9 years","Female","West","1997","Thousand","13.2"
"Estimated Population (Persons in April)","5 - 9 years","Female","West","1998","Thousand","13"
"Estimated Population (Persons in April)","5 - 9 years","Female","West","1999","Thousand","12.9"
"Estimated Population (Persons in April)","5 - 9 years","Female","West","2000","Thousand","12.6"
"Estimated Population (Persons in April)","5 - 9 years","Female","West","2001","Thousand","12.4"
"Estimated Population (Persons in April)","5 - 9 years","Female","West","2002","Thousand","12.5"
"Estimated Population (Persons in April)","5 - 9 years","Female","West","2003","Thousand","12.5"
"Estimated Population (Persons in April)","5 - 9 years","Female","West","2004","Thousand","12.7"
"Estimated Population (Persons in April)","5 - 9 years","Female","West","2005","Thousand","13.2"
"Estimated Population (Persons in April)","5 - 9 years","Female","West","2006","Thousand","13.4"
"Estimated Population (Persons in April)","5 - 9 years","Female","West","2007","Thousand","13.9"
"Estimated Population (Persons in April)","5 - 9 years","Female","West","2008","Thousand","14.1"
"Estimated Population (Persons in April)","5 - 9 years","Female","West","2009","Thousand","14.4"
"Estimated Population (Persons in April)","5 - 9 years","Female","West","2010","Thousand","14.7"
"Estimated Population (Persons in April)","5 - 9 years","Female","West","2011","Thousand","15.1"
"Estimated Population (Persons in April)","5 - 9 years","Female","West","2012","Thousand","15.1"
"Estimated Population (Persons in April)","5 - 9 years","Female","West","2013","Thousand","15.5"
"Estimated Population (Persons in April)","5 - 9 years","Female","West","2014","Thousand","15.7"
"Estimated Population (Persons in April)","5 - 9 years","Female","West","2015","Thousand","15.9"
"Estimated Population (Persons in April)","5 - 9 years","Female","West","2016","Thousand","16.1"
"Estimated Population (Persons in April)","5 - 9 years","Female","West","2017","Thousand","16.3"
"Estimated Population (Persons in April)","5 - 9 years","Female","Dublin","1996","Thousand","16.4"
"Estimated Population (Persons in April)","5 - 9 years","Female","Dublin","1997","Thousand","36.9"
"Estimated Population (Persons in April)","5 - 9 years","Female","Dublin","1998","Thousand","35.9"
"Estimated Population (Persons in April)","5 - 9 years","Female","Dublin","1999","Thousand","34.9"
"Estimated Population (Persons in April)","5 - 9 years","Female","Dublin","2000","Thousand","33.5"
"Estimated Population (Persons in April)","5 - 9 years","Female","Dublin","2001","Thousand","33.2"
"Estimated Population (Persons in April)","5 - 9 years","Female","Dublin","2002","Thousand","32.7"
"Estimated Population (Persons in April)","5 - 9 years","Female","Dublin","2003","Thousand","33.4"
"Estimated Population (Persons in April)","5 - 9 years","Female","Dublin","2004","Thousand","33.8"
"Estimated Population (Persons in April)","5 - 9 years","Female","Dublin","2005","Thousand","34.1"
"Estimated Population (Persons in April)","5 - 9 years","Female","Dublin","2006","Thousand","34.8"
"Estimated Population (Persons in April)","5 - 9 years","Female","Dublin","2007","Thousand","35.8"
"Estimated Population (Persons in April)","5 - 9 years","Female","Dublin","2008","Thousand","36.6"
"Estimated Population (Persons in April)","5 - 9 years","Female","Dublin","2009","Thousand","37.1"
"Estimated Population (Persons in April)","5 - 9 years","Female","Dublin","2010","Thousand","38"
"Estimated Population (Persons in April)","5 - 9 years","Female","Dublin","2011","Thousand","38.6"
"Estimated Population (Persons in April)","5 - 9 years","Female","Dublin","2012","Thousand","39.7"
"Estimated Population (Persons in April)","5 - 9 years","Female","Dublin","2013","Thousand","39.9"
"Estimated Population (Persons in April)","5 - 9 years","Female","Dublin","2014","Thousand","41.7"
"Estimated Population (Persons in April)","5 - 9 years","Female","Dublin","2015","Thousand","43.3"
"Estimated Population (Persons in April)","5 - 9 years","Female","Dublin","2016","Thousand","44.4"
"Estimated Population (Persons in April)","5 - 9 years","Female","Dublin","2017","Thousand","45.1"
"Estimated Population (Persons in April)","5 - 9 years","Female","Mid-East","1996","Thousand","37.3"
"Estimated Population (Persons in April)","5 - 9 years","Female","Mid-East","1997","Thousand","14.4"
"Estimated Population (Persons in April)","5 - 9 years","Female","Mid-East","1998","Thousand","14.4"
"Estimated Population (Persons in April)","5 - 9 years","Female","Mid-East","1999","Thousand","14.5"
"Estimated Population (Persons in April)","5 - 9 years","Female","Mid-East","2000","Thousand","14.9"
"Estimated Population (Persons in April)","5 - 9 years","Female","Mid-East","2001","Thousand","14.4"
"Estimated Population (Persons in April)","5 - 9 years","Female","Mid-East","2002","Thousand","14.9"
"Estimated Population (Persons in April)","5 - 9 years","Female","Mid-East","2003","Thousand","15.5"
"Estimated Population (Persons in April)","5 - 9 years","Female","Mid-East","2004","Thousand","16.1"
"Estimated Population (Persons in April)","5 - 9 years","Female","Mid-East","2005","Thousand","16.6"
"Estimated Population (Persons in April)","5 - 9 years","Female","Mid-East","2006","Thousand","17.6"
"Estimated Population (Persons in April)","5 - 9 years","Female","Mid-East","2007","Thousand","18.6"
"Estimated Population (Persons in April)","5 - 9 years","Female","Mid-East","2008","Thousand","19.5"
"Estimated Population (Persons in April)","5 - 9 years","Female","Mid-East","2009","Thousand","20"
"Estimated Population (Persons in April)","5 - 9 years","Female","Mid-East","2010","Thousand","20.5"
"Estimated Population (Persons in April)","5 - 9 years","Female","Mid-East","2011","Thousand","20.8"
"Estimated Population (Persons in April)","5 - 9 years","Female","Mid-East","2012","Thousand","21.3"
"Estimated Population (Persons in April)","5 - 9 years","Female","Mid-East","2013","Thousand","22"
"Estimated Population (Persons in April)","5 - 9 years","Female","Mid-East","2014","Thousand","22.9"
"Estimated Population (Persons in April)","5 - 9 years","Female","Mid-East","2015","Thousand","23.4"
"Estimated Population (Persons in April)","5 - 9 years","Female","Mid-East","2016","Thousand","23.9"
"Estimated Population (Persons in April)","5 - 9 years","Female","Mid-East","2017","Thousand","24.2"
"Estimated Population (Persons in April)","5 - 9 years","Female","Mid-West","1996","Thousand","8.2"
"Estimated Population (Persons in April)","5 - 9 years","Female","Mid-West","1997","Thousand","11.7"
"Estimated Population (Persons in April)","5 - 9 years","Female","Mid-West","1998","Thousand","11.6"
"Estimated Population (Persons in April)","5 - 9 years","Female","Mid-West","1999","Thousand","11.6"
"Estimated Population (Persons in April)","5 - 9 years","Female","Mid-West","2000","Thousand","11.3"
"Estimated Population (Persons in April)","5 - 9 years","Female","Mid-West","2001","Thousand","11.1"
"Estimated Population (Persons in April)","5 - 9 years","Female","Mid-West","2002","Thousand","11.3"
"Estimated Population (Persons in April)","5 - 9 years","Female","Mid-West","2003","Thousand","11.4"
"Estimated Population (Persons in April)","5 - 9 years","Female","Mid-West","2004","Thousand","11.7"
"Estimated Population (Persons in April)","5 - 9 years","Female","Mid-West","2005","Thousand","12"
"Estimated Population (Persons in April)","5 - 9 years","Female","Mid-West","2006","Thousand","12.3"
"Estimated Population (Persons in April)","5 - 9 years","Female","Mid-West","2007","Thousand","12.5"
"Estimated Population (Persons in April)","5 - 9 years","Female","Mid-West","2008","Thousand","12.9"
"Estimated Population (Persons in April)","5 - 9 years","Female","Mid-West","2009","Thousand","12.8"
"Estimated Population (Persons in April)","5 - 9 years","Female","Mid-West","2010","Thousand","12.8"
"Estimated Population (Persons in April)","5 - 9 years","Female","Mid-West","2011","Thousand","13"
"Estimated Population (Persons in April)","5 - 9 years","Female","Mid-West","2012","Thousand","13.2"
"Estimated Population (Persons in April)","5 - 9 years","Female","Mid-West","2013","Thousand","13.5"
"Estimated Population (Persons in April)","5 - 9 years","Female","Mid-West","2014","Thousand","13.8"
"Estimated Population (Persons in April)","5 - 9 years","Female","Mid-West","2015","Thousand","13.9"
"Estimated Population (Persons in April)","5 - 9 years","Female","Mid-West","2016","Thousand","13.9"
"Estimated Population (Persons in April)","5 - 9 years","Female","Mid-West","2017","Thousand","14"
"Estimated Population (Persons in April)","5 - 9 years","Female","South-East","1996","Thousand","12"
"Estimated Population (Persons in April)","5 - 9 years","Female","South-East","1997","Thousand","15.1"
"Estimated Population (Persons in April)","5 - 9 years","Female","South-East","1998","Thousand","15"
"Estimated Population (Persons in April)","5 - 9 years","Female","South-East","1999","Thousand","15.1"
"Estimated Population (Persons in April)","5 - 9 years","Female","South-East","2000","Thousand","14.9"
"Estimated Population (Persons in April)","5 - 9 years","Female","South-East","2001","Thousand","14.5"
"Estimated Population (Persons in April)","5 - 9 years","Female","South-East","2002","Thousand","14.6"
"Estimated Population (Persons in April)","5 - 9 years","Female","South-East","2003","Thousand","14.8"
"Estimated Population (Persons in April)","5 - 9 years","Female","South-East","2004","Thousand","15.1"
"Estimated Population (Persons in April)","5 - 9 years","Female","South-East","2005","Thousand","15.5"
"Estimated Population (Persons in April)","5 - 9 years","Female","South-East","2006","Thousand","16"
"Estimated Population (Persons in April)","5 - 9 years","Female","South-East","2007","Thousand","16.5"
"Estimated Population (Persons in April)","5 - 9 years","Female","South-East","2008","Thousand","17.2"
"Estimated Population (Persons in April)","5 - 9 years","Female","South-East","2009","Thousand","17.5"
"Estimated Population (Persons in April)","5 - 9 years","Female","South-East","2010","Thousand","17.4"
"Estimated Population (Persons in April)","5 - 9 years","Female","South-East","2011","Thousand","17.7"
"Estimated Population (Persons in April)","5 - 9 years","Female","South-East","2012","Thousand","17.9"
"Estimated Population (Persons in April)","5 - 9 years","Female","South-East","2013","Thousand","18.1"
"Estimated Population (Persons in April)","5 - 9 years","Female","South-East","2014","Thousand","18.3"
"Estimated Population (Persons in April)","5 - 9 years","Female","South-East","2015","Thousand","18.6"
"Estimated Population (Persons in April)","5 - 9 years","Female","South-East","2016","Thousand","18.9"
"Estimated Population (Persons in April)","5 - 9 years","Female","South-East","2017","Thousand","19"
"Estimated Population (Persons in April)","5 - 9 years","Female","South-West","1996","Thousand","15.4"
"Estimated Population (Persons in April)","5 - 9 years","Female","South-West","1997","Thousand","19.9"
"Estimated Population (Persons in April)","5 - 9 years","Female","South-West","1998","Thousand","19.7"
"Estimated Population (Persons in April)","5 - 9 years","Female","South-West","1999","Thousand","19.4"
"Estimated Population (Persons in April)","5 - 9 years","Female","South-West","2000","Thousand","19.3"
"Estimated Population (Persons in April)","5 - 9 years","Female","South-West","2001","Thousand","19.2"
"Estimated Population (Persons in April)","5 - 9 years","Female","South-West","2002","Thousand","19.1"
"Estimated Population (Persons in April)","5 - 9 years","Female","South-West","2003","Thousand","19.6"
"Estimated Population (Persons in April)","5 - 9 years","Female","South-West","2004","Thousand","19.9"
"Estimated Population (Persons in April)","5 - 9 years","Female","South-West","2005","Thousand","19.8"
"Estimated Population (Persons in April)","5 - 9 years","Female","South-West","2006","Thousand","20.4"
"Estimated Population (Persons in April)","5 - 9 years","Female","South-West","2007","Thousand","20.7"
"Estimated Population (Persons in April)","5 - 9 years","Female","South-West","2008","Thousand","21.2"
"Estimated Population (Persons in April)","5 - 9 years","Female","South-West","2009","Thousand","21.2"
"Estimated Population (Persons in April)","5 - 9 years","Female","South-West","2010","Thousand","21.2"
"Estimated Population (Persons in April)","5 - 9 years","Female","South-West","2011","Thousand","21.9"
"Estimated Population (Persons in April)","5 - 9 years","Female","South-West","2012","Thousand","22.3"
"Estimated Population (Persons in April)","5 - 9 years","Female","South-West","2013","Thousand","23.2"
"Estimated Population (Persons in April)","5 - 9 years","Female","South-West","2014","Thousand","24"
"Estimated Population (Persons in April)","5 - 9 years","Female","South-West","2015","Thousand","24.3"
"Estimated Population (Persons in April)","5 - 9 years","Female","South-West","2016","Thousand","24.8"
"Estimated Population (Persons in April)","5 - 9 years","Female","South-West","2017","Thousand","25.2"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","State","1996","Thousand","326.1"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","State","1997","Thousand","318"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","State","1998","Thousand","308.3"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","State","1999","Thousand","300.2"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","State","2000","Thousand","295.1"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","State","2001","Thousand","290.6"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","State","2002","Thousand","285.7"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","State","2003","Thousand","281.7"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","State","2004","Thousand","278.2"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","State","2005","Thousand","276.3"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","State","2006","Thousand","274.2"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","State","2007","Thousand","276.5"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","State","2008","Thousand","283.1"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","State","2009","Thousand","290.5"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","State","2010","Thousand","296.1"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","State","2011","Thousand","301"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","State","2012","Thousand","304.5"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","State","2013","Thousand","307.9"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","State","2014","Thousand","310.1"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","State","2015","Thousand","314.4"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","State","2016","Thousand","318.9"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","State","2017","Thousand","323.3"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Border","1996","Thousand","39"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Border","1997","Thousand","38.3"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Border","1998","Thousand","37.2"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Border","1999","Thousand","36.5"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Border","2000","Thousand","35.8"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Border","2001","Thousand","35"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Border","2002","Thousand","34.3"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Border","2003","Thousand","33.7"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Border","2004","Thousand","33.3"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Border","2005","Thousand","33"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Border","2006","Thousand","33"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Border","2007","Thousand","33.2"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Border","2008","Thousand","34.4"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Border","2009","Thousand","35.5"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Border","2010","Thousand","35.8"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Border","2011","Thousand","36.8"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Border","2012","Thousand","37"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Border","2013","Thousand","37.2"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Border","2014","Thousand","37.4"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Border","2015","Thousand","37.6"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Border","2016","Thousand","37.8"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Border","2017","Thousand","38.5"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Midland","1996","Thousand","20.4"
